RM_ODD_W
1.82
1.75
1.23
1.54
1.28
3.8
1.35
1.45
2.64
1.33
2.66
2.48
1.57
1.51
1.31
1.27
1.59
1.47
1.47
1.34
1.54
1.62
1.39
1.59
2.07
2.72
1.2
1.69
1.38
2.77
2.02
1.38
1.53
1.39
1.92
1.4
1.59
1.58
1.6
1.65
1.95
1.44
1.83
1.24
1.51
1.68
2.67
1.31
1.53
1.4
1.45
1.72
1.51
2.18
1.9
1.13
2.23
1.58
1.37
1.18
1.28
2.61
1.22
1.59
1.53
1.57
2.28
1.85
1.44
2.48
1.91
1.47
4.28
1.42
2.6
1.58
1.46
1.66
1.51
1.4
1.29
2.45
1.38
1.49
2.31
1.28
1.39
1.28
1.75
1.23
1.47
2.09
2.51
1.74
1.4
1.78
1.22
1.72
1.84
1.73
1.25
3.32
1.2
1.49
1.59
1.3
1.66
1.13
3.2
1.63
2.2
1.41
2.25
1.69
2.26
1.42
1.82
1.37
1.73
2.62
1.19
1.87
1.29
1.75
2.68
1.23
1.34
1.48
1.17
1.71
1.25
1.6
1.23
1.13
1.45
1.58
1.7
1.43
1.66
1.29
1.64
1.33
1.48
1.59
